/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_376.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_376.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_376.jpg, 0, 0, 0, 8.001504E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_481.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_481.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_481.jpg, 0, 0, 0, 7.808849E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_614.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_614.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_614.jpg, 0, 0, 0, 7.818612E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_734.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_734.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_734.jpg, 0, 0, 0, 7.83325E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_861.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_861.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_861.jpg, 0, 0, 0, 7.836894E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_53_972.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_53_972.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_53_972.jpg, 0, 0, 0, 7.804696E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_093.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_093.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_093.jpg, 0, 0, 0, 7.813269E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_216.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_216.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_216.jpg, 0, 0, 0, 7.811747E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_328.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_328.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_328.jpg, 0, 0, 0, 7.808561E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_428.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_428.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_428.jpg, 0, 0, 0, 8.124764E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_541.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_541.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_541.jpg, 0, 0, 0, 7.923944E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_643.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_643.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_643.jpg, 0, 0, 0, 7.810205E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_746.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_746.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_746.jpg, 0, 0, 0, 8.080158E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_875.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_875.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_875.jpg, 0, 0, 0, 7.910267E-05
/Users/qas/Desktop/untitled folder 2/IMG/center_2021_02_10_16_16_54_999.jpg, /Users/qas/Desktop/untitled folder 2/IMG/left_2021_02_10_16_16_54_999.jpg, /Users/qas/Desktop/untitled folder 2/IMG/right_2021_02_10_16_16_54_999.jpg, 0, 0, 0, 7.897671E-05
